,label,tweet_text
0,other_useful_information, nicoleewayne Tennessee USA Knoxville 
1,infrastructure_and_utilities_damage, SFGate Were updating this interactive map of reported damage from the Napaquake. Check it out 
2,injured_or_dead_people," YourAnonNews Strong 6.1 Earthquake Rocks San Francisco Bay Area, Injures 87+, Significant Damage In Napa  "
3,infrastructure_and_utilities_damage, heyyouapp Wisconsin USA Madison 
4,other_useful_information," scullather ""infodude amazing use of BigData from Jawbone - How the Napa Earthquake Affected Bay Area Sleepers "
5,other_useful_information," MarshGlobal Napa, California earthquake was regions most severe since 1989. Get tips on how affected should respond "
6,other_useful_information,USAHeadlines Cleanup Efforts Underway after Major Earthquake in California 
7,other_useful_information,Jawbone Looks At UP Data To See How Many Were Woken Up By The Napa Earthquake Jawbone has shown one of the mo... 
8,injured_or_dead_people,The San Francisco Earthquake In Wine Country Injured Dozens Of People NAPAÃÂ Calif. (Reuters) - A 6.0 magnitude... 
9,other_useful_information, SBSNews State of emergency after 6.0 earthquake hits California wine country 
10,sympathy_and_emotional_support, JSimrock Thinking of all those dealing with the aftermath of the earthquake in California.
11,infrastructure_and_utilities_damage, _com Economic losses from California earthquake could top $1 billion 
12,other_useful_information, dbfish The single most California photo of all time. napaquake 
13,other_useful_information, heyyouapp USA ÃÂ» NEWS ÃÂ» 
14,not_related_or_irrelevant,Did God Send Earthquake Because California Ship Workers DenyÃÂ Israel 
15,other_useful_information,Jawbone knows how many of its users were roused by the Napa earthquake 
16,caution_and_advice, BurnTom The extent of my parents helping me move to San Francisco has been them looking up Earthquake videos and warning me.
17,other_useful_information,Boy Hurt in California Quake I Should Be Dead Boy badly hurt by bricks in California quake says lucky to b... 
18,infrastructure_and_utilities_damage, Reuters California wine country quake losses seen in the billions 
19,other_useful_information, Cal_OES Napa Earthquake Victims Urged to Only Hire Licensed Contractors for Repairs | Cal OES Newsroom. 
20,other_useful_information,Losses From California Quake Could Top $1 Billion - New York Times 
21,not_related_or_irrelevant,Skaters Make Best of Napa Earthquake by Shredding Buckled Streets 
22,injured_or_dead_people,Over 120 Injured in Napa Quake   via BreitbartNews 
23,injured_or_dead_people, News24lHOT Ã¢â¬Â¢ 
24,other_useful_information," jbooton Rest easy oenophiles, Napa Valley quake wonÃ¢â¬â¢t spike price of California wine "
25,other_useful_information,&gt;&gt;&gt;&gt;&gt; 
26,infrastructure_and_utilities_damage,NewsUpdates Insured losses from Napa earthquake could reach $500m to $1 billion 
27,injured_or_dead_people,Video shows moment earthquake hit California; updated reports say 120 injured Cleveland 
28,other_useful_information,6.0 earthquake strikes California wine country | Stuff ... 
29,injured_or_dead_people," theprovince 3 critically injured, 87 treated at hospital after 6.0 magnitude earthquake in California "
30,infrastructure_and_utilities_damage, sofiaorden ÃÂ» 
31,other_useful_information," NBCNightlyNews At least 65 aftershocks have hit Napa County, California since Sundays 6.0-magnitude earthquake. JoeFryer joins us noÃ¢â¬Â¦"
32,other_useful_information," hwabeng Ã¢â¬Åcnnbrk A 7.0 magnitude earthquake strikes southern Peru, U.S. Geological Survey says.Ã¢â¬ÂYesterday North California,the Big OnÃ¢â¬Â¦"
33,sympathy_and_emotional_support,Hoping for best Powerful earthquake shakes Northern California 
34,infrastructure_and_utilities_damage, svqjournalist Im taking over coverage of the napaquake from downtown. The damage looks striking in person. 
35,other_useful_information, EuBetaLab1 Northern California earthquake is the strongest in 25 years - CNN 
36,other_useful_information,"M6.0  - 6km NW of American Canyon, California 2014-08-24 102044 UTC (via usgs) "
37,other_useful_information, CNN This drone captured the aftermath of the 6.0 Napa earthquake. Watch the full video here 
38,other_useful_information,CpCueroPornoqrafico California earthquake marks first major test of hard-luck city of ... 
39,injured_or_dead_people, janinebucks Ã¢â¬Â¢ 
40,caution_and_advice, heyyouapp Ã¢â¢Â¦ 
